CaseID,Activity,EventType,Resource,Timestamp
409,Activity 1,assign,Role #1,2020-01-17T09:54:18.383-06:00
409,Activity 2,assign,Role #1,2020-03-16T02:38:22.623-06:00
409,Activity 6,assign,Role #3,2020-04-23T04:48:37.510-05:00
409,Activity 7,assign,Role #3,2020-04-23T05:02:35.816-05:00
409,Activity 8,assign,Role #4,2020-04-23T05:30:00.021-05:00
405,Activity 1,assign,Role #1,2020-01-17T09:19:12.015-06:00
405,Activity 2,assign,Role #1,2020-03-16T02:07:04.047-06:00
405,Activity 6,assign,Role #3,2020-04-23T04:29:04.110-05:00
405,Activity 7,assign,Role #3,2020-04-23T04:40:10.353-05:00
405,Activity 8,assign,Role #4,2020-04-23T04:54:01.599-05:00
407,Activity 1,assign,Role #1,2020-01-17T09:42:17.231-06:00
407,Activity 2,assign,Role #1,2020-03-16T02:20:35.976-06:00
407,Activity 6,assign,Role #3,2020-04-23T04:33:23.547-05:00
407,Activity 7,assign,Role #3,2020-04-23T04:43:44.695-05:00
407,Activity 8,assign,Role #4,2020-04-23T05:07:13.270-05:00
408,Activity 1,assign,Role #1,2020-01-17T09:43:02.081-06:00
408,Activity 2,assign,Role #1,2020-03-16T02:36:20.587-06:00
408,Activity 3,assign,Role #2,2020-04-23T04:45:14.278-05:00
408,Activity 4,assign,Role #2,2020-04-23T05:29:49.206-05:00
408,Activity 5,assign,Role #2,2020-04-23T05:29:49.206-05:00
408,Activity 8,assign,Role #4,2020-04-23T05:52:46.821-05:00
404,Activity 1,assign,Role #1,2020-01-17T09:18:52.521-06:00
404,Activity 2,assign,Role #1,2020-03-12T03:57:54.013-06:00
404,Activity 6,assign,Role #3,2020-04-23T04:21:28.660-05:00
404,Activity 7,assign,Role #3,2020-04-23T04:33:25.836-05:00
404,Activity 8,assign,Role #4,2020-04-23T04:54:25.281-05:00
406,Activity 1,assign,Role #1,2020-01-17T09:20:55.815-06:00
406,Activity 2,assign,Role #1,2020-03-16T02:17:50.353-06:00
406,Activity 3,assign,Role #2,2020-04-23T04:33:03.456-05:00
406,Activity 4,assign,Role #2,2020-04-23T05:20:48.234-05:00
406,Activity 5,assign,Role #2,2020-04-23T05:20:48.234-05:00
406,Activity 8,assign,Role #4,2020-04-23T05:54:26.564-05:00
410,Activity 1,assign,Role #1,2020-01-17T09:59:00.946-06:00
410,Activity 2,assign,Role #1,2020-03-16T02:58:46.450-06:00
410,Activity 6,assign,Role #3,2020-04-23T04:59:40.531-05:00
410,Activity 7,assign,Role #3,2020-04-23T05:12:20.029-05:00
410,Activity 8,assign,Role #4,2020-04-23T05:16:55.773-05:00
411,Activity 1,assign,Role #1,2020-01-17T09:59:36.458-06:00
411,Activity 2,assign,Role #1,2020-03-16T02:51:06.784-06:00
411,Activity 6,assign,Role #3,2020-04-23T04:53:06.533-05:00
411,Activity 7,assign,Role #3,2020-04-23T05:02:37.705-05:00
411,Activity 8,assign,Role #4,2020-04-23T05:25:55.189-05:00
400,Activity 1,assign,Role #1,2020-01-17T08:51:20.046-06:00
400,Activity 2,assign,Role #1,2020-03-12T03:24:00.878-06:00
400,Activity 6,assign,Role #3,2020-04-23T03:55:26.002-05:00
400,Activity 7,assign,Role #3,2020-04-23T04:10:55.685-05:00
400,Activity 8,assign,Role #4,2020-04-23T04:35:50.054-05:00
